pv_cap_id,number_units,kW,$/W,pv_capex,inverter_cost,inverter_life,sys_0_10,sys_10_20,inv_0_10,inv_10_20
B_exist_micro,4,10.4,1.33,13832,8944,10,,,,
C_cA,12,2.75,1.47,4042.5,2612.5,10,,,,
C_cAB,12,4.95,1.02,5049,4108.5,10,,,,
C_cB,12,2.2,1.47,3234,2090,10,,,,
C_cC,12,2.275,1.47,3344.25,2161.25,10,,,,
C_cD,12,4.125,1.02,4207.5,3423.75,10,,,,
C_max11,12,11.55,1.21,13975.5,7507.5,10,,,,
C_half_5,12,5.775,1,5775,3753.75,10,,,,
C_max1kW,12,11.55,1.85,21367.5,12705,10,,,,
C_half_1kW,12,5.775,1.85,10683.75,6352.5,10,,,,
C_cA_micro,12,2.75,2.29,6297.5,2365,10,,,,
C_cAB_micro,12,4.95,1.61,7969.5,4257,10,,,,
C_cB_micro,12,2.2,2.29,5038,1892,10,,,,
C_cC_micro,12,2.275,2.29,5209.75,1956.5,10,,,,
C_cD_micro,12,4.125,1.61,6641.25,3547.5,10,,,,
C_max11_micro,12,11.55,1.33,15361.5,9933,10,,,,
C_half_5_micro,12,5.775,1.44,8316,4966.5,10,,,,
C_max_pv,12,10.5,1.21,12705,6825,10,,,,
C_max_pv_micro,12,10.5,1.33,13965,9030,10,,,,
K_best_fit,18,15.5,1.21,18755,10075,10,,,,
K_max_pv,18,24.5,1.12,27440,10290,10,,,,
K_max_yield,18,12.5,1.21,15125,8125,10,,,,
T_best_fit,15,21.5,1.12,24080,9030,10,,,,
T_max_pv,15,30.75,1.12,34440,12915,10,,,,
T_max_yield,15,12.75,1.21,15427.5,8287.5,10,,,,
W_best_fit,72,109.5,1.14,124830,33945,10,,,,
W_max_pv,72,143,1.14,163020,44330,10,,,,
W_max_yield,72,74,1.14,84360,22940,10,,,,
W_iu_1,72,72,1.85,133200,79200,10,,,,
W_iu_2,72,143,1.47,210210,157300,10,,,,
W_ic_1,72,92,1.69232,155693.44,87687.04,10,,,,
W_ic_15,72,138,1.60608,221639.04,131530.56,10,,,,
W_cp30,72,30,1.12,33600,12600,10,,,,
W_cp15,72,15,1.21,18150,9750,10,,,,
T_cp2,15,2,1.47,2940,1900,10,,,,
T_cp4,15,4,1.02,4080,3320,10,,,,
T_cp6,15,6,1,6000,3900,10,,,,
T_cp1,15,1,1.85,1850,1100,10,,,,
testcap_pricepoint,,,,,,10,1.2,1.1,0.9,0.8
