scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
0,abb_f5_000,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,1952.831525395,0.0,1952.831525395,0.0,0.0,0.0,-8296.96089222231,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,1952.831525395,100.0,100.0,0.0,0.0,0.0,1952.831525395,0.0,5692.078
1,abb_f5_001,cp_only,0.0,abb_future,0.0,0.0,1494.0389021942167,,,,0.0,0.0,0.0,0.0,100.0,1050.62576394183,0.0,2544.664666136047,0.0,0.0,0.0,-10811.471928936722,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1050.62576394183,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,2544.664666136047,0.0,5692.078
2,abb_f5_002,cp_only,0.0,abb_future,0.0,0.0,2204.8673488282357,,,,0.0,0.0,0.0,0.0,100.0,543.950413227354,0.0,2748.81776205559,0.0,0.0,0.0,-11678.853590305556,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,543.950413227354,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,2748.81776205559,0.0,5692.078
3,abb_f5_003,cp_only,0.0,abb_future,0.0,0.0,2858.1613781106757,,,,0.0,0.0,0.0,0.0,100.0,51.56005695698739,0.0,2909.721435067663,0.0,0.0,0.0,-12362.482190640685,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,51.56005695698739,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,2909.721435067663,0.0,5692.078
4,abb_f5_004,cp_only,0.0,abb_future,0.0,0.0,946.5339628808083,,,,0.0,0.0,0.0,0.0,100.0,1050.62576394183,0.0,1997.1597268226383,0.0,0.0,0.0,-8485.297340546122,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1050.62576394183,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,1997.1597268226383,0.0,5692.078
5,abb_f5_005,cp_only,0.0,abb_future,0.0,0.0,1362.73051420634,,,,0.0,0.0,0.0,0.0,100.0,543.950413227354,0.0,1906.680927433694,0.0,0.0,0.0,-8100.8816598573085,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,543.950413227354,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,1906.680927433694,0.0,5692.078
6,abb_f5_006,cp_only,0.0,abb_future,0.0,0.0,2041.5438415076255,,,,0.0,0.0,0.0,0.0,100.0,51.56005695698739,0.0,2093.103898464613,0.0,0.0,0.0,-8892.933652024203,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,51.56005695698739,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,2093.103898464613,0.0,5692.078
14,abb_f5_014,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,1787.4558093949997,0.0,1787.4558093949997,0.0,0.0,0.0,-7594.332001643678,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,1787.4558093949997,100.0,100.0,0.0,0.0,0.0,1787.4558093949997,0.0,5692.078
15,abb_f5_015,cp_only,0.0,abb_future,0.0,0.0,1494.0389021942167,,,,0.0,0.0,0.0,0.0,100.0,1182.5637164399116,0.0,2676.602618634128,0.0,0.0,0.0,-11372.034382912394,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1182.5637164399116,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,2676.602618634128,0.0,5692.078
16,abb_f5_016,cp_only,0.0,abb_future,0.0,0.0,2204.8673488282357,,,,0.0,0.0,0.0,0.0,100.0,874.8046372248427,0.0,3079.6719860530784,0.0,0.0,0.0,-13084.548102011311,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,874.8046372248427,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,3079.6719860530784,0.0,5692.078
17,abb_f5_017,cp_only,0.0,abb_future,0.0,0.0,2858.1613781106757,,,,0.0,0.0,0.0,0.0,100.0,581.6311874696293,0.0,3439.792565580305,0.0,0.0,0.0,-14614.58606277061,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,581.6311874696293,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,3439.792565580305,0.0,5692.078
