scenario,cust_bill_K01_mean,cust_bill_K01_std,cust_bill_K02_mean,cust_bill_K02_std,cust_bill_K03_mean,cust_bill_K03_std,cust_bill_K04_mean,cust_bill_K04_std,cust_bill_K05_mean,cust_bill_K05_std,cust_bill_K06_mean,cust_bill_K06_std,cust_bill_K07_mean,cust_bill_K07_std,cust_bill_K08_mean,cust_bill_K08_std,cust_bill_K09_mean,cust_bill_K09_std,cust_bill_K10_mean,cust_bill_K10_std,cust_bill_K11_mean,cust_bill_K11_std,cust_bill_K12_mean,cust_bill_K12_std,cust_bill_K13_mean,cust_bill_K13_std,cust_bill_K14_A_mean,cust_bill_K14_A_std,cust_bill_K15_A_mean,cust_bill_K15_A_std,cust_bill_K16_A_mean,cust_bill_K16_A_std,cust_bill_K17_A_mean,cust_bill_K17_A_std,cust_bill_K18_A_mean,cust_bill_K18_A_std,cust_solar_bill_K01_mean,cust_solar_bill_K01_std,cust_solar_bill_K02_mean,cust_solar_bill_K02_std,cust_solar_bill_K03_mean,cust_solar_bill_K03_std,cust_solar_bill_K04_mean,cust_solar_bill_K04_std,cust_solar_bill_K05_mean,cust_solar_bill_K05_std,cust_solar_bill_K06_mean,cust_solar_bill_K06_std,cust_solar_bill_K07_mean,cust_solar_bill_K07_std,cust_solar_bill_K08_mean,cust_solar_bill_K08_std,cust_solar_bill_K09_mean,cust_solar_bill_K09_std,cust_solar_bill_K10_mean,cust_solar_bill_K10_std,cust_solar_bill_K11_mean,cust_solar_bill_K11_std,cust_solar_bill_K12_mean,cust_solar_bill_K12_std,cust_solar_bill_K13_mean,cust_solar_bill_K13_std,cust_solar_bill_K14_A_mean,cust_solar_bill_K14_A_std,cust_solar_bill_K15_A_mean,cust_solar_bill_K15_A_std,cust_solar_bill_K16_A_mean,cust_solar_bill_K16_A_std,cust_solar_bill_K17_A_mean,cust_solar_bill_K17_A_std,cust_solar_bill_K18_A_mean,cust_solar_bill_K18_A_std,cust_total$_K01_mean,cust_total$_K01_std,cust_total$_K02_mean,cust_total$_K02_std,cust_total$_K03_mean,cust_total$_K03_std,cust_total$_K04_mean,cust_total$_K04_std,cust_total$_K05_mean,cust_total$_K05_std,cust_total$_K06_mean,cust_total$_K06_std,cust_total$_K07_mean,cust_total$_K07_std,cust_total$_K08_mean,cust_total$_K08_std,cust_total$_K09_mean,cust_total$_K09_std,cust_total$_K10_mean,cust_total$_K10_std,cust_total$_K11_mean,cust_total$_K11_std,cust_total$_K12_mean,cust_total$_K12_std,cust_total$_K13_mean,cust_total$_K13_std,cust_total$_K14_A_mean,cust_total$_K14_A_std,cust_total$_K15_A_mean,cust_total$_K15_A_std,cust_total$_K16_A_mean,cust_total$_K16_A_std,cust_total$_K17_A_mean,cust_total$_K17_A_std,cust_total$_K18_A_mean,cust_total$_K18_A_std
1,1665.8407182105611,,1278.3910926688366,,1784.7288367721726,,1329.9906725740525,,938.1288147730675,,1208.0399594546618,,1294.7353000550374,,1512.764709434486,,800.4678492969583,,1652.935983991105,,1158.8504726231308,,1231.770295691989,,1897.4398110172815,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1665.8407182105611,,1278.3910926688366,,1784.7288367721726,,1329.9906725740525,,938.1288147730675,,1208.0399594546618,,1294.7353000550374,,1512.764709434486,,800.4678492969583,,1652.935983991105,,1158.8504726231308,,1231.770295691989,,1897.4398110172815,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,
2,1665.8407182105611,,1278.3910926688366,,1784.7288367721726,,1329.9906725740525,,938.1288147730675,,1208.0399594546618,,1294.7353000550374,,1512.764709434486,,800.4678492969583,,1652.935983991105,,1158.8504726231308,,1231.770295691989,,1897.4398110172815,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1665.8407182105611,,1278.3910926688366,,1784.7288367721726,,1329.9906725740525,,938.1288147730675,,1208.0399594546618,,1294.7353000550374,,1512.764709434486,,800.4678492969583,,1652.935983991105,,1158.8504726231308,,1231.770295691989,,1897.4398110172815,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,,1787.1371573288952,
3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
10,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
