timestamp,A01,A02,A03,A04,A05,A06,cp
1/6/17 0:00,19.52,63.359,1.117,76.32,1.117,76.32,0
1/6/17 0:30,4.719,76.8,1.103,70.44,1.103,70.44,0
1/6/17 1:00,3.92,78.06,1.108,65.34,1.108,65.34,0
1/6/17 1:30,3.92,68.22,1.105,62.1,1.105,62.1,0
1/6/17 2:00,3.759,67.26,1.107,63.84,1.107,63.84,0
1/6/17 2:30,4,70.56,1.109,65.1,1.109,65.1,0
1/6/17 3:00,4.24,71.22,1.107,72.78,1.107,72.78,0
1/6/17 3:30,4.16,69.36,1.107,72.84,1.107,72.84,0
1/6/17 4:00,4.48,88.02,1.104,70.56,1.104,70.56,0
1/6/17 4:30,4.479,81.24,1.096,67.32,1.096,67.32,0
1/6/17 5:00,4.24,85.32,1.089,64.74,1.089,64.74,0
1/6/17 5:30,4.399,85.439,1.099,66.599,1.099,66.599,0
1/6/17 6:00,4.56,108.12,1.161,75.12,1.161,75.12,0
1/6/17 6:30,14.799,121.44,2.123,74.158,2.123,74.158,0
1/6/17 7:00,59.999,130.38,1.895,75.54,1.895,75.54,0
1/6/17 7:30,44.56,164.22,1.442,88.799,1.442,88.799,0
1/6/17 8:00,52.56,233.459,5.519,115.2,5.519,115.2,0
1/6/17 8:30,65.12,290.46,6.063,151.44,6.063,151.44,0
1/6/17 9:00,78.72,335.279,7.134,191.58,7.134,191.58,0
1/6/17 9:30,79.919,354.66,6.258,201.54,6.258,201.54,0
1/6/17 10:00,80.64,349.979,6.128,212.64,6.128,212.64,0
1/6/17 10:30,80.08,339.3,6.071,225.599,6.071,225.599,0
1/6/17 11:00,76.72,343.8,6.034,223.74,6.034,223.74,0
1/6/17 11:30,63.277,339.6,6.862,220.499,6.862,220.499,0
1/6/17 12:00,62.8,338.34,7.541,236.698,7.541,236.698,0
1/6/17 12:30,64,331.14,5.937,238.26,5.937,238.26,0
1/6/17 13:00,62.718,321.478,7.37,236.639,7.37,236.639,0
1/6/17 13:30,64.08,320.16,6.219,231.24,6.219,231.24,0
1/6/17 14:00,63.28,326.04,7.04,233.759,7.04,233.759,0
1/6/17 14:30,72.24,318.179,6.221,234.419,6.221,234.419,0
1/6/17 15:00,63.519,317.34,6.608,225.3,6.608,225.3,0
1/6/17 15:30,62.799,312.96,6.527,224.28,6.527,224.28,0
1/6/17 16:00,63.04,306.42,7.099,223.319,7.099,223.319,0
1/6/17 16:30,63.039,302.46,6.887,223.32,6.887,223.32,0
1/6/17 17:00,63.519,289.68,7.334,223.38,7.334,223.38,0
1/6/17 17:30,63.12,297.18,1.923,222.24,1.923,222.24,0
1/6/17 18:00,62.958,297.54,1.131,226.8,1.131,226.8,0
1/6/17 18:30,63.519,290.82,1.104,233.88,1.104,233.88,0
1/6/17 19:00,62.558,278.34,0.973,233.52,0.973,233.52,0
1/6/17 19:30,63.519,258.24,1.705,228.72,1.705,228.72,0
1/6/17 20:00,62.559,247.739,0.835,217.26,0.835,217.26,0
1/6/17 20:30,51.678,224.46,0.858,203.82,0.858,203.82,0
1/6/17 21:00,41.12,132.48,0.845,162.72,0.845,162.72,0
1/6/17 21:30,27.678,103.56,0.849,115.8,0.849,115.8,0
1/6/17 22:00,25.04,81.419,0.842,107.16,0.842,107.16,0
1/6/17 22:30,25.36,75.419,1.356,106.56,1.356,106.56,0
1/6/17 23:00,25.04,68.759,0.944,102.059,0.944,102.059,0
1/6/17 23:30,24.639,67.02,0.835,97.02,0.835,97.02,0
2/6/17 0:00,17.76,65.52,0.917,78.36,0.917,78.36,0
2/6/17 0:30,13.12,84.779,0.786,73.56,0.786,73.56,0
2/6/17 1:00,3.28,82.139,1.543,70.56,1.543,70.56,0
2/6/17 1:30,3.76,72.48,0.734,67.619,0.734,67.619,0
2/6/17 2:00,3.92,71.04,0.733,68.999,0.733,68.999,0
2/6/17 2:30,4.64,71.52,0.731,68.46,0.731,68.46,0
2/6/17 3:00,4.24,69.78,0.731,64.499,0.731,64.499,0
2/6/17 3:30,4.32,78.78,0.73,65.16,0.73,65.16,0
2/6/17 4:00,4.24,88.8,0.728,64.2,0.728,64.2,0
2/6/17 4:30,4.32,90.54,0.726,67.74,0.726,67.74,0
2/6/17 5:00,4.08,86.34,0.722,70.44,0.722,70.44,0
2/6/17 5:30,4.4,91.68,0.727,72.24,0.727,72.24,0
2/6/17 6:00,4.88,98.28,0.912,80.64,0.912,80.64,0
2/6/17 6:30,16.24,119.28,1.82,79.14,1.82,79.14,0
2/6/17 7:00,61.04,115.979,1.067,77.76,1.067,77.76,0
2/6/17 7:30,52.479,165.24,1.158,85.44,1.158,85.44,0
2/6/17 8:00,50.719,224.399,5.451,105.9,5.451,105.9,0
2/6/17 8:30,64.24,286.919,7.792,148.02,7.792,148.02,0
2/6/17 9:00,78.4,351.179,5.977,196.56,5.977,196.56,0
2/6/17 9:30,79.92,360.24,5.93,199.74,5.93,199.74,0
2/6/17 10:00,80.24,343.739,6.949,209.64,6.949,209.64,0
2/6/17 10:30,78.8,343.62,6.024,228.359,6.024,228.359,0
2/6/17 11:00,65.599,346.98,5.895,224.819,5.895,224.819,0
2/6/17 11:30,63.119,342.9,6.865,229.499,6.865,229.499,0
2/6/17 12:00,72.96,339.72,6.852,232.68,6.852,232.68,0
2/6/17 12:30,63.84,335.639,5.941,232.44,5.941,232.44,0
2/6/17 13:00,62.318,328.26,5.99,238.86,5.99,238.86,0
2/6/17 13:30,64.4,331.859,8.045,236.759,8.045,236.759,0
2/6/17 14:00,63.52,328.198,6.116,235.26,6.116,235.26,0
2/6/17 14:30,64.48,323.219,6.711,226.32,6.711,226.32,0
2/6/17 15:00,63.038,325.32,6.642,227.999,6.642,227.999,0
2/6/17 15:30,63.918,312.6,5.998,227.94,5.998,227.94,0
2/6/17 16:00,62.56,323.94,6.685,222.239,6.685,222.239,0
2/6/17 16:30,63.44,314.76,6.16,223.199,6.16,223.199,0
2/6/17 17:00,63.359,293.46,5.998,227.34,5.998,227.34,0
2/6/17 17:30,67.118,307.379,3.317,233.88,3.317,233.88,0
2/6/17 18:00,63.359,307.62,1.246,238.859,1.246,238.859,0
2/6/17 18:30,62.399,298.98,1.105,237.3,1.105,237.3,0
2/6/17 19:00,62.64,290.28,1.1,238.199,1.1,238.199,0
2/6/17 19:30,62.719,278.1,1.082,232.679,1.082,232.679,0
2/6/17 20:00,62.72,263.52,1.087,224.519,1.087,224.519,0
2/6/17 20:30,50.72,238.56,1.091,212.04,1.091,212.04,0
2/6/17 21:00,41.04,145.2,1.096,170.22,1.096,170.22,0
2/6/17 21:30,28.319,113.579,1.14,133.62,1.14,133.62,0
2/6/17 22:00,19.919,81.719,1.139,120.96,1.139,120.96,0
2/6/17 22:30,14.719,74.22,1.079,111.48,1.079,111.48,0
2/6/17 23:00,16.16,68.4,1.074,108.3,1.074,108.3,0
2/6/17 23:30,18,65.28,1.085,106.02,1.085,106.02,0
3/6/17 0:00,18.16,67.38,1.09,96.179,1.09,96.179,0
3/6/17 0:30,17.278,85.62,1.106,85.86,1.106,85.86,0
3/6/17 1:00,15.839,82.019,2.186,83.7,2.186,83.7,0
3/6/17 1:30,24.959,71.22,0.733,72.42,0.733,72.42,0
3/6/17 2:00,24.72,70.8,0.731,70.32,0.731,70.32,0
3/6/17 2:30,14.239,70.32,0.733,70.5,0.733,70.5,0
3/6/17 3:00,4.24,72.239,0.733,66.12,0.733,66.12,0
3/6/17 3:30,4.4,74.04,0.731,64.198,0.731,64.198,0
3/6/17 4:00,4.08,94.02,0.73,61.08,0.73,61.08,0
3/6/17 4:30,4.72,86.94,0.73,63.24,0.73,63.24,0
3/6/17 5:00,4.64,85.74,0.725,62.46,0.725,62.46,0
3/6/17 5:30,4.319,91.08,0.721,75.3,0.721,75.3,0
3/6/17 6:00,4.48,100.02,0.727,80.999,0.727,80.999,0
3/6/17 6:30,3.998,118.679,0.731,79.68,0.731,79.68,0
3/6/17 7:00,45.2,119.699,0.726,73.86,0.726,73.86,0
3/6/17 7:30,62.88,162.24,0.73,79.86,0.73,79.86,0
3/6/17 8:00,60.72,223.919,0.841,110.4,0.841,110.4,0
3/6/17 8:30,62.478,295.86,1.554,145.5,1.554,145.5,0
3/6/17 9:00,71.68,331.8,1.86,191.34,1.86,191.34,0
3/6/17 9:30,62.159,360.66,0.959,197.82,0.959,197.82,0
