pv_cap_id,number_units,kW,$/W,pv_capex,inverter_cost,inverter_life
B_exist_micro,4,10.4,1.33,13832,8944,10
C_max_pv_1kW,12,1,1.15,1150,230,10
C_max_pv_micro_1kW,12,1,1.2,1200,240,10
K_best_fit_1kW_scale,18,1,1.2,1200,240,10
K_max_pv_1kW_scale,18,1,1.15,1150,230,10
K_max_yield_1kW_scale,18,1,1.18,1180,236,10
T_best_fit_1kW,15,1,1.15,1150,230,10
T_max_1kW,15,1,1.15,1150,230,10
T_max_yield_1kW,15,1,1.18,1180,236,10
W_best_fit_1kW,72,1,1.06,1060,212,10
W_max_pv_1kW,72,1,0.98,980,196,10
W_max_yield_1kW,72,1,1.13,1130,226,10
W_iu_1,72,72,1.85,133200,79200,10
W_iu_2,72,143,1.47,210210,157300,10
W_ic_1,72,92,1.69232,155693.44,87687.04,10
W_ic_15,72,138,1.60608,221639.04,131530.56,10
W_cp30,72,30,1.12,33600,12600,10
W_cp15,72,15,1.21,18150,9750,10
Kbtm_i_1kW,18,1,1.83,1830,336,10
Cbtm_i_1kW,12,1,1.83,1830,336,10
Tbtm_i_1kW,15,1,1.83,1830,336,10
Wbtm_i_1kW,72,1,1.83,1830,336,10
Cbtm_i_1.4,12,1,1.4,1400,280,10
Cbtm_i_1.5,12,1,1.5,1500,300,10
Cbtm_i_1.6,12,1,1.6,1600,320,10
Cbtm_i_1.7,12,1,1.7,1700,340,10
W_75,72,1,1.06,1060,212,10
W_75_50,72,1,1.59,2550,318,10
W_75_100,72,1,2.12,2120,424,10
W_145,72,1,0.98,980,196,10
W_145_50,72,1,1.47,1470,294,10
W_145_100,72,1,1.96,1960,392,10
