tariff_id,rorn,rescom,tariff_reference,tariff_type,fit_type,supplier,state,notes,tariff_name,daily_fixed_rate,flat_rate,discount,demand_tariff,demand_type,demand_start,demand_end,demand_week,name_1,rate_1,start_1,end_1,week_1,name_2,rate_2,start_2,end_2,week_2,name_3,rate_3,start_3,end_3,week_3,name_4,rate_4,start_4,end_4,week_4,name_5,rate_5,start_5,end_5,week_5,name_6,rate_6,start_6,end_6,week_6,name_7,rate_7,start_7,end_7,week_7,name_8,rate_8,start_8,end_8,week_8,block_rate_1,high_1,block_rate_2,high_2,block_rate_3,fit_flat_rate,solar_cp_allocation,release_date,dlf,metering_sc_non_cap,metering_sc_cap
TIDNULL,retail,res,,Zero_Rate,Zero_Rate,MR,NSW,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASO_Flat,retail,res,ENE390949SR,Flat_Rate,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - Peak Only,130,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_Flat_15pc,retail,res,ENE390949SR,Flat_Rate,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - Peak Only,130,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_Flat_20pc,retail,res,ENE390949SR,Flat_Rate,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - Peak Only,130,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_Flat_25pc,retail,res,ENE390949SR,Flat_Rate,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - Peak Only,130,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_TOU,retail,res,ENE446991SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,110,0,,,,,,,Peak,60,14:00,20:00,day,Shoulder_1,30,7:00,14:00,day,Shoulder_2,30,20:00,22:00,day,Shoulder_3,30,7:00,22:00,end,Off_Peak_1,20,22:00,7:00,both,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_TOU_15pc,retail,res,ENE446991SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,110,0,15,,,,,,Peak,60,14:00,20:00,day,Shoulder_1,30,7:00,14:00,day,Shoulder_2,30,20:00,22:00,day,Shoulder_3,30,7:00,22:00,end,Off_Peak_1,20,22:00,7:00,both,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_TOU_20pc,retail,res,ENE446991SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,110,0,20,,,,,,Peak,60,14:00,20:00,day,Shoulder_1,30,7:00,14:00,day,Shoulder_2,30,20:00,22:00,day,Shoulder_3,30,7:00,22:00,end,Off_Peak_1,20,22:00,7:00,both,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_TOU_25pc,retail,res,ENE446991SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,110,0,25,,,,,,Peak,60,14:00,20:00,day,Shoulder_1,30,7:00,14:00,day,Shoulder_2,30,20:00,22:00,day,Shoulder_3,30,7:00,22:00,end,Off_Peak_1,20,22:00,7:00,both,,,,,,,,,,,,,,,,,,,,,,,31/07/2017,,,
EASO_TOU_15pc_FIT12,retail,res,ENE446991SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,110,0,15,,,,,,Peak,60,14:00,20:00,day,Shoulder_1,30,7:00,14:00,day,Shoulder_2,30,20:00,22:00,day,Shoulder_3,30,7:00,22:00,end,Off_Peak_1,20,22:00,7:00,both,,,,,,,,,,,,,,,,,,,,,12,,31/07/2017,,,
