scenario,pv_filename,load_folder,arrangement,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,output_types,,central_battery_id,central_battery_strategy
0,,abb_future,bau,,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,,
1,Abb_40kW.csv,abb_future,cp_only,abb_4m,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
2,Abb_66kW.csv,abb_future,cp_only,abb_6m,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
3,Abb_88kW.csv,abb_future,cp_only,abb_8m,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
4,Abb_40kW.csv,abb_future,cp_only,abb_4,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
5,Abb_66kW.csv,abb_future,cp_only,abb_6,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
6,Abb_88kW.csv,abb_future,cp_only,abb_8,EL_SP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
14,,abb_future,bau,,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
15,Abb_40kW.csv,abb_future,cp_only,abb_4m,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
16,Abb_66kW.csv,abb_future,cp_only,abb_6m,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
17,Abb_88kW.csv,abb_future,cp_only,abb_8m,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
18,Abb_40kW.csv,abb_future,cp_only,abb_4,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
19,Abb_66kW.csv,abb_future,cp_only,abb_6,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
20,Abb_88kW.csv,abb_future,cp_only,abb_8,EL_MP,TIDNULL,TIDNULL,EA302,,10,0.06,log_timeseries_detailed,,powerwall2_1,ed1730_cmax_dmax
