scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
1,demo_k1_001,bau,18.0,K,0.0,0.0,0.0,1482.765016844879,0.0,1482.765016844879,0.0,0.0,0.0,0.0,8.735553971642638,2116.3864355647565,0.0,2116.3864355647565,0.0,0.0,0.0,-214903.10065657523,0.0,0.0,0.0,1.0613486111111112,84865.94136027776,0.0,10760.162004947886,28806.156738772585,100.0,100.0,0.0,0.0,0.0,28806.156738772585,0.0,84864.88001166648
2,demo_k1_002,bau,18.0,K,0.0,0.0,0.0,1482.765016844879,0.0,1482.765016844879,0.0,0.0,0.0,0.0,8.735553971642638,2116.3864355647565,0.0,2116.3864355647565,0.0,0.0,0.0,-334340.27983438666,0.0,0.0,0.0,1.0613486111111112,84865.94136027776,0.0,10760.162004947886,28806.156738772585,100.0,100.0,0.0,0.0,0.0,28806.156738772585,0.0,84864.88001166648
3,demo_k1_003,en_pv,18.0,K,4500.0,7620.447253274937,3655.683087934691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,18185.234544261555,-253362.59476063933,0.0,33961.36488547119,-33961.36488547119,11525.197396675238,61400.62645187614,41.22960045622611,10056.997607344754,18185.234544261555,67.06093670628036,67.06093670628042,27.648956266202063,27.64895626620185,0.0,33961.36488547119,0.0,84864.88001166648
4,demo_k1_004,en_pv,18.0,K,4500.0,4917.582785394177,3243.713260365775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,18185.234544261555,-358021.9938019823,0.0,30846.530590021506,-30846.530590021506,11525.197396675238,61400.62645187614,41.22960045622611,10056.997607344754,18185.234544261555,67.06093670628036,67.06093670628042,27.648956266202063,27.64895626620185,0.0,30846.530590021506,0.0,84864.88001166648
5,demo_k1_005,en_pv,18.0,K,4500.0,7620.447253274937,2015.0221102409687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,19261.936186890667,-249155.27856609545,0.0,33397.40555040658,-33397.40555040658,2569.300826433919,67854.0090192355,23.072172866058924,10243.695751083926,19261.936186890667,86.87804759732232,86.87804759732272,20.04465332431116,20.04465332431093,0.0,33397.40555040658,0.0,84864.88001166648
6,demo_k1_006,en_pv,18.0,K,4500.0,4917.582785394177,1998.8426531541022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,19261.936186890667,-356070.1312474637,0.0,30678.36162543895,-30678.36162543895,2569.300826433919,67854.0090192355,23.072172866058924,10243.695751083926,19261.936186890667,86.87804759732232,86.87804759732272,20.04465332431116,20.04465332431093,0.0,30678.36162543895,0.0,84864.88001166648
7,demo_k1_007,en,18.0,K,4500.0,7620.447253274937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,19596.33584322789,-236617.29997866228,0.0,31716.78309650283,-31716.78309650283,0.0,84864.88001166667,0.0,10760.162004947886,19596.33584322789,100.0,100.0,0.0,0.0,0.0,31716.78309650283,0.0,84864.88001166648
8,demo_k1_008,en,18.0,K,4500.0,4917.582785394177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,19596.33584322789,-336751.67990490346,0.0,29013.91862862207,-29013.91862862207,0.0,84864.88001166667,0.0,10760.162004947886,19596.33584322789,100.0,100.0,0.0,0.0,0.0,29013.91862862207,0.0,84864.88001166648
9,demo_k1_009,en,18.0,K,4500.0,7620.447253274937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,22164.525348434006,-255776.8113549092,0.0,34284.97260170894,-34284.97260170894,0.0,84864.88001166667,0.0,10760.162004947886,22164.525348434006,100.0,100.0,0.0,0.0,0.0,34284.97260170894,0.0,84864.88001166648
10,demo_k1_010,en,18.0,K,4500.0,4917.582785394177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735553971642638,0.0,0.0,0.0,0.0,5811.577859315259,22164.525348434006,-366559.51597359456,0.0,31582.108133828184,-31582.108133828184,0.0,84864.88001166667,0.0,10760.162004947886,22164.525348434006,100.0,100.0,0.0,0.0,0.0,31582.108133828184,0.0,84864.88001166648
