,,,943.4058372,14.83580551
Row Labels,Sum of grid_export,,above 10kWh,
101,17.78860437,17.78860437,7.788604369,
102,6.819085349,6.819085349,0,
103,19.04586911,19.04586911,9.045869112,
104,5.058756283,5.058756283,0,
105,20.86066037,20.86066037,10.86066037,
106,19.96727609,19.96727609,9.967276087,
107,24.83580551,24.83580551,14.83580551,
108,16.66729646,16.66729646,6.667296458,
109,11.0163857,11.0163857,1.016385696,
110,20.23934368,20.23934368,10.23934368,
111,23.33194246,23.33194246,13.33194246,
112,20.8238732,20.8238732,10.8238732,
113,18.26277925,18.26277925,8.262779246,
114,20.15436325,20.15436325,10.15436325,
115,13.72277441,13.72277441,3.722774412,
116,10.49620816,10.49620816,0.496208158,
117,4.129581103,4.129581103,0,
118,10.76583498,10.76583498,0.76583498,
119,19.3326426,19.3326426,9.332642605,
120,15.41490503,15.41490503,5.414905025,
121,22.64545205,22.64545205,12.64545205,
122,12.69180309,12.69180309,2.691803085,
123,2.713862204,2.713862204,0,
124,13.45697793,13.45697793,3.456977928,
125,16.17243007,16.17243007,6.172430074,
126,19.61104091,19.61104091,9.611040907,
127,14.18500445,14.18500445,4.185004454,
128,18.45467101,18.45467101,8.454671007,
129,18.14585149,18.14585149,8.145851486,
130,4.497258564,4.497258564,0,
131,9.170742775,9.170742775,0,
201,4.362551861,4.362551861,0,
202,14.05297223,14.05297223,4.052972227,
203,12.6986647,12.6986647,2.698664696,
204,14.24848825,14.24848825,4.248488251,
205,16.48095439,16.48095439,6.480954386,
206,12.50394111,12.50394111,2.503941109,
207,13.73483613,13.73483613,3.734836134,
208,2.030645348,2.030645348,0,
209,8.831825325,8.831825325,0,
210,6.32522812,6.32522812,0,
211,16.46169305,16.46169305,6.461693054,
212,17.12692215,17.12692215,7.126922147,
213,4.447957482,4.447957482,0,
214,16.13576921,16.13576921,6.135769207,
215,17.34314788,17.34314788,7.343147882,
216,10.95588422,10.95588422,0.955884222,
217,14.21961942,14.21961942,4.219619424,
218,19.06504756,19.06504756,9.065047565,
219,16.62181072,16.62181072,6.621810724,
220,9.136146498,9.136146498,0,
221,15.2977944,15.2977944,5.297794397,
222,14.44471261,14.44471261,4.444712608,
223,9.973192543,9.973192543,0,
224,3.300138724,3.300138724,0,
225,8.334407607,8.334407607,0,
226,10.10659614,10.10659614,0.106596138,
227,7.597366369,7.597366369,0,
228,9.180048299,9.180048299,0,
301,10.07599956,10.07599956,0.075999562,
302,15.67459973,15.67459973,5.674599733,
303,18.02681406,18.02681406,8.026814064,
304,11.81322185,11.81322185,1.81322185,
305,1.515191305,1.515191305,0,
306,11.43445487,11.43445487,1.434454872,
307,10.03566525,10.03566525,0.035665248,
308,12.14158763,12.14158763,2.141587626,
309,14.84553808,14.84553808,4.845538078,
310,13.19339771,13.19339771,3.193397707,
311,15.59093514,15.59093514,5.590935142,
312,8.173119806,8.173119806,0,
313,5.542743069,5.542743069,0,
314,14.43075353,14.43075353,4.430753528,
315,17.79286528,17.79286528,7.792865279,
316,10.12392486,10.12392486,0.123924864,
317,8.206537273,8.206537273,0,
318,5.577196148,5.577196148,0,
319,7.919142578,7.919142578,0,
320,4.395939606,4.395939606,0,
321,10.79457124,10.79457124,0.794571238,
322,13.59872205,13.59872205,3.59872205,
323,15.92028086,15.92028086,5.920280861,
324,12.69552527,12.69552527,2.695525274,
325,4.226687332,4.226687332,0,
326,11.71259303,11.71259303,1.712593031,
327,10.76221474,10.76221474,0.762214745,
328,13.8282837,13.8282837,3.828283701,
329,2.940789373,2.940789373,0,
330,13.92108005,13.92108005,3.92108005,
331,14.17174178,14.17174178,4.171741776,
401,13.49098806,13.49098806,3.490988065,
402,11.95723338,11.95723338,1.957233383,
403,11.26113602,11.26113602,1.261136018,
404,11.80703789,11.80703789,1.807037894,
405,11.23139799,11.23139799,1.231397994,
406,11.85882885,11.85882885,1.858828853,
407,13.31725935,13.31725935,3.317259346,
408,5.127425766,5.127425766,0,
409,13.27611024,13.27611024,3.276110235,
