scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
0,abb_f2_000,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,1952.831525395,0.0,1952.831525395,0.0,0.0,0.0,-14568.744927449045,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,1952.831525395,100.0,100.0,0.0,0.0,0.0,1952.831525395,0.0,5692.078
1,abb_f2_001,cp_only,0.0,abb_future,0.0,0.0,857.9664390050805,,,,0.0,0.0,0.0,0.0,100.0,1050.62576394183,0.0,1908.5922029469104,0.0,0.0,0.0,-14238.705496946191,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1050.62576394183,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,1908.5922029469104,0.0,5692.078
2,abb_f2_002,cp_only,0.0,abb_future,0.0,0.0,1266.1666205441434,,,,0.0,0.0,0.0,0.0,100.0,543.950413227354,0.0,1810.1170337714973,0.0,0.0,0.0,-13504.049382095842,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,543.950413227354,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,1810.1170337714973,0.0,5692.078
3,abb_f2_003,cp_only,0.0,abb_future,0.0,0.0,1641.3271007053713,,,,0.0,0.0,0.0,0.0,100.0,51.56005695698739,0.0,1692.887157662359,0.0,0.0,0.0,-12629.477182343464,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,51.56005695698739,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,1692.887157662359,0.0,5692.078
4,abb_f2_004,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,1787.4558093949997,0.0,1787.4558093949997,0.0,0.0,0.0,-13334.98943330271,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,1787.4558093949997,100.0,100.0,0.0,0.0,0.0,1787.4558093949997,0.0,5692.078
5,abb_f2_005,cp_only,0.0,abb_future,0.0,0.0,857.9664390050805,,,,0.0,0.0,0.0,0.0,100.0,1182.5637164399116,0.0,2040.530155444992,0.0,0.0,0.0,-15223.004629358877,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1182.5637164399116,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,2040.530155444992,0.0,5692.078
6,abb_f2_006,cp_only,0.0,abb_future,0.0,0.0,1266.1666205441434,,,,0.0,0.0,0.0,0.0,100.0,874.8046372248427,0.0,2140.971257768986,0.0,0.0,0.0,-15972.327231416977,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,874.8046372248427,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,2140.971257768986,0.0,5692.078
7,abb_f2_007,cp_only,0.0,abb_future,0.0,0.0,1641.3271007053713,,,,0.0,0.0,0.0,0.0,100.0,581.6311874696293,0.0,2222.9582881750007,0.0,0.0,0.0,-16583.976581507555,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,581.6311874696293,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,2222.9582881750007,0.0,5692.078
8,abb_f2_008,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,2146.7715961999997,0.0,2146.7715961999997,0.0,0.0,0.0,-16015.599602840439,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,2146.7715961999997,100.0,100.0,0.0,0.0,0.0,2146.7715961999997,0.0,5692.078
9,abb_f2_009,cp_only,0.0,abb_future,0.0,0.0,857.9664390050805,,,,0.0,0.0,0.0,0.0,100.0,1346.490116505862,0.0,2204.4565555109425,0.0,0.0,0.0,-16445.947765199904,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1346.490116505862,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,2204.4565555109425,0.0,5692.078
