scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,output_types
0,,FALSE,,W,bau,FALSE,,DMO_BAU,DMO_BAU,TIDNULL,EA305,,20,0.06,
1,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,log_timeseries_detailed
2,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU_FIT8,DMO_TOU_FIT8,TIDNULL,EA305,,20,0.06,
3,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU_FIT9,DMO_TOU_FIT9,TIDNULL,EA305,,20,0.06,
4,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU_FIT10,DMO_TOU_FIT10,TIDNULL,EA305,,20,0.06,
5,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU_FIT12,DMO_TOU_FIT12,TIDNULL,EA305,,20,0.06,
6,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU_FIT15,DMO_TOU_FIT15,TIDNULL,EA305,,20,0.06,
7,W_max_pv_1kW.csv,TRUE,145,W,btm_i_u,TRUE,W_145,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,log_timeseries_detailed
8,W_max_pv_1kW.csv,TRUE,145,W,btm_i_u,TRUE,W_145,DMO_TOU_FIT8,DMO_TOU_FIT8,TIDNULL,EA305,,20,0.06,
9,W_max_pv_1kW.csv,TRUE,145,W,btm_i_u,TRUE,W_145,DMO_TOU_FIT9,DMO_TOU_FIT9,TIDNULL,EA305,,20,0.06,
10,W_max_pv_1kW.csv,TRUE,145,W,btm_i_u,TRUE,W_145,DMO_TOU_FIT10,DMO_TOU_FIT10,TIDNULL,EA305,,20,0.06,
11,W_max_pv_1kW.csv,TRUE,145,W,btm_i_u,TRUE,W_145,DMO_TOU_FIT12,DMO_TOU_FIT12,TIDNULL,EA305,,20,0.06,
12,W_max_pv_1kW.csv,TRUE,145,W,btm_i_u,TRUE,W_145,DMO_TOU_FIT15,DMO_TOU_FIT15,TIDNULL,EA305,,20,0.06,
13,W_max_pv_1kW.csv,TRUE,75,W,btm_i_c,TRUE,W_75,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,log_timeseries_detailed
14,W_max_pv_1kW.csv,TRUE,75,W,btm_i_c,TRUE,W_75,DMO_TOU_FIT8,DMO_TOU_FIT8,TIDNULL,EA305,,20,0.06,
15,W_max_pv_1kW.csv,TRUE,75,W,btm_i_c,TRUE,W_75,DMO_TOU_FIT9,DMO_TOU_FIT9,TIDNULL,EA305,,20,0.06,
16,W_max_pv_1kW.csv,TRUE,75,W,btm_i_c,TRUE,W_75,DMO_TOU_FIT10,DMO_TOU_FIT10,TIDNULL,EA305,,20,0.06,
17,W_max_pv_1kW.csv,TRUE,75,W,btm_i_c,TRUE,W_75,DMO_TOU_FIT12,DMO_TOU_FIT12,TIDNULL,EA305,,20,0.06,
18,W_max_pv_1kW.csv,TRUE,75,W,btm_i_c,TRUE,W_75,DMO_TOU_FIT15,DMO_TOU_FIT15,TIDNULL,EA305,,20,0.06,
19,W_max_pv_1kW.csv,TRUE,145,W,btm_i_c,TRUE,W_145,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,log_timeseries_detailed
20,W_max_pv_1kW.csv,TRUE,145,W,btm_i_c,TRUE,W_145,DMO_TOU_FIT8,DMO_TOU_FIT8,TIDNULL,EA305,,20,0.06,
21,W_max_pv_1kW.csv,TRUE,145,W,btm_i_c,TRUE,W_145,DMO_TOU_FIT9,DMO_TOU_FIT9,TIDNULL,EA305,,20,0.06,
22,W_max_pv_1kW.csv,TRUE,145,W,btm_i_c,TRUE,W_145,DMO_TOU_FIT10,DMO_TOU_FIT10,TIDNULL,EA305,,20,0.06,
23,W_max_pv_1kW.csv,TRUE,145,W,btm_i_c,TRUE,W_145,DMO_TOU_FIT12,DMO_TOU_FIT12,TIDNULL,EA305,,20,0.06,
24,W_max_pv_1kW.csv,TRUE,145,W,btm_i_c,TRUE,W_145,DMO_TOU_FIT15,DMO_TOU_FIT15,TIDNULL,EA305,,20,0.06,
