scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate
0,,FALSE,,W,bau,FALSE,,DMO_BAU,DMO_BAU,TIDNULL,EA305,,20,0.06
1,,FALSE,,W,bau,FALSE,,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
2,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,PARENT_305_1,EA305,capex_low,20,0.06
3,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_FLAT_15,DMO_EN_FLAT_15,PARENT_305_1,EA305,capex_low,20,0.06
4,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_TOU_15,DMO_EN_TOU_15,PARENT_305_1,EA305,capex_low,20,0.06
5,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_STC_15,DMO_EN_STC_15,PARENT_305_1,EA305,capex_low,20,0.06
6,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_FLAT_20,DMO_EN_FLAT_20,PARENT_305_1,EA305,capex_low,20,0.06
7,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_TOU_20,DMO_EN_TOU_20,PARENT_305_1,EA305,capex_low,20,0.06
8,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_STC_20,DMO_EN_STC_20,PARENT_305_1,EA305,capex_low,20,0.06
9,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_FLAT_25,DMO_EN_FLAT_25,PARENT_305_1,EA305,capex_low,20,0.06
10,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_TOU_25,DMO_EN_TOU_25,PARENT_305_1,EA305,capex_low,20,0.06
11,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_STC_25,DMO_EN_STC_25,PARENT_305_1,EA305,capex_low,20,0.06
12,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_FLAT_30,DMO_EN_FLAT_30,PARENT_305_1,EA305,capex_low,20,0.06
13,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,DMO_EN_TOU_30,DMO_EN_TOU_30,PARENT_305_1,EA305,capex_low,20,0.06
