scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_windivpv_000,bau,72.0,W,0.0,0.0,0.0,1399.4147733468194,0.0,1399.4147733468194,0.0,0.0,0.0,0.0,21.55713016986636,22720.490186041665,0.0,22720.490186041665,0.0,0.0,0.0,-1433158.4653852535,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37844.83484501855,123478.35386701243,100.0,100.0,0.0,0.0,0.0,123478.35386701243,0.0,408522.8142766657
1,demo_windivpv_001,btm_i_u,72.0,W,0.0,0.0,8201.702757458123,1115.3028679686192,0.0,1229.2154062666477,0.0,0.0,0.0,1.1175870895385742e-10,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1258370.2682139075,0.0,0.0,0.0,31063.983324433044,337105.4733144323,25.085826471679955,35002.006881738555,100217.21463872507,69.68815192362393,69.6881519236239,17.481848862880998,17.481848862880668,0.0,108418.91739618308,0.0,408522.8142766657
2,demo_windivpv_002,btm_i_u,72.0,W,0.0,0.0,8201.702757458123,1115.3028679686192,0.0,1229.2154062666477,0.0,0.0,0.0,1.1175870895385742e-10,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1258370.2682139075,0.0,0.0,0.0,31063.983324433044,337105.4733144323,25.085826471679955,35002.006881738555,100217.21463872507,69.68815192362393,69.6881519236239,17.481848862880998,17.481848862880668,0.0,108418.91739618308,0.0,408522.8142766657
3,demo_windivpv_003,btm_i_u,72.0,W,0.0,0.0,8201.702757458123,1115.3028679686192,0.0,1229.2154062666477,0.0,0.0,0.0,1.1175870895385742e-10,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1258370.2682139075,0.0,0.0,0.0,31063.983324433044,337105.4733144323,25.085826471679955,35002.006881738555,100217.21463872507,69.68815192362393,69.6881519236239,17.481848862880998,17.481848862880668,0.0,108418.91739618308,0.0,408522.8142766657
4,demo_windivpv_004,btm_i_u,72.0,W,0.0,0.0,8201.702757458123,1115.3028679686192,0.0,1229.2154062666477,0.0,0.0,0.0,1.1175870895385742e-10,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1258370.2682139075,0.0,0.0,0.0,31063.983324433044,337105.4733144323,25.085826471679955,35002.006881738555,100217.21463872507,69.68815192362393,69.6881519236239,17.481848862880998,17.481848862880668,0.0,108418.91739618308,0.0,408522.8142766657
5,demo_windivpv_005,btm_i_u,72.0,W,0.0,0.0,8201.702757458123,1115.3028679686192,0.0,1229.2154062666477,0.0,0.0,0.0,1.1175870895385742e-10,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1258370.2682139075,0.0,0.0,0.0,31063.983324433044,337105.4733144323,25.085826471679955,35002.006881738555,100217.21463872507,69.68815192362393,69.6881519236239,17.481848862880998,17.481848862880668,0.0,108418.91739618308,0.0,408522.8142766657
6,demo_windivpv_006,btm_i_u,72.0,W,0.0,0.0,8201.702757458123,1115.3028679686192,0.0,1229.2154062666477,0.0,0.0,0.0,1.1175870895385742e-10,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1258370.2682139075,0.0,0.0,0.0,31063.983324433044,337105.4733144323,25.085826471679955,35002.006881738555,100217.21463872507,69.68815192362393,69.6881519236239,17.481848862880998,17.481848862880668,0.0,108418.91739618308,0.0,408522.8142766657
7,demo_windivpv_007,btm_i_u,72.0,W,0.0,0.0,14659.89889100376,1027.2972756664326,0.0,1230.9069824859287,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1259783.871186301,0.0,0.0,0.0,101276.88671290854,311669.1407020171,48.49926451191468,33860.225485776544,93880.81199296768,48.883763026804026,48.883763026804296,23.708265533747237,23.708265533747138,0.0,108540.71088397145,0.0,408522.8142766657
8,demo_windivpv_008,btm_i_u,72.0,W,0.0,0.0,14659.89889100376,1027.2972756664326,0.0,1230.9069824859287,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1259783.871186301,0.0,0.0,0.0,101276.88671290854,311669.1407020171,48.49926451191468,33860.225485776544,93880.81199296768,48.883763026804026,48.883763026804296,23.708265533747237,23.708265533747138,0.0,108540.71088397145,0.0,408522.8142766657
9,demo_windivpv_009,btm_i_u,72.0,W,0.0,0.0,14659.89889100376,1027.2972756664326,0.0,1230.9069824859287,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1259783.871186301,0.0,0.0,0.0,101276.88671290854,311669.1407020171,48.49926451191468,33860.225485776544,93880.81199296768,48.883763026804026,48.883763026804296,23.708265533747237,23.708265533747138,0.0,108540.71088397145,0.0,408522.8142766657
10,demo_windivpv_010,btm_i_u,72.0,W,0.0,0.0,14659.89889100376,1027.2972756664326,0.0,1230.9069824859287,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,19915.40814498457,0.0,19915.40814498457,0.0,0.0,0.0,-1259783.871186301,0.0,0.0,0.0,101276.88671290854,311669.1407020171,48.49926451191468,33860.225485776544,93880.81199296768,48.883763026804026,48.883763026804296,23.708265533747237,23.708265533747138,0.0,108540.71088397145,0.0,408522.8142766657
