scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wparent_000,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,53219.56981019676,-1047734.3350901327,0.0,90270.90451724833,-90270.90451724833,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,90270.90451724833,0.0,408522.8142766657
1,demo_wparent_001,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,61135.02446106113,-1139605.5050967962,0.0,98186.3591681127,-98186.3591681127,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,61135.02446106113,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,98186.3591681127,0.0,408522.8142766657
3,demo_wparent_003,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,49441.9677570895,-1068728.7472984141,0.0,92079.74528573047,-92079.74528573047,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,92079.74528573047,0.0,408522.8142766657
4,demo_wparent_004,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,56327.166438382614,-1148642.1933958747,0.0,98964.94396702359,-98964.94396702359,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,56327.166438382614,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,98964.94396702359,0.0,408522.8142766657
5,demo_wparent_005,en_pv,72.0,W,18000.0,4195.4202784481795,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,53219.56981019676,-1065695.3774996067,0.0,91818.39560356118,-91818.39560356118,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,91818.39560356118,0.0,408522.8142766657
6,demo_wparent_006,en_pv,72.0,W,18000.0,4195.4202784481795,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,61135.02446106113,-1157566.5475062714,0.0,99733.85025442556,-99733.85025442556,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,61135.02446106113,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,99733.85025442556,0.0,408522.8142766657
7,demo_wparent_007,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,49441.9677570895,-1086689.7897078882,0.0,93627.23637204332,-93627.23637204332,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,93627.23637204332,0.0,408522.8142766657
8,demo_wparent_008,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,56327.166438382614,-1166603.235805349,0.0,100512.43505333643,-100512.43505333643,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,56327.166438382614,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,100512.43505333643,0.0,408522.8142766657
9,demo_wparent_009,en_pv,72.0,W,18000.0,6774.572088969601,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,53219.56981019676,-1095630.4481820632,0.0,94397.54741408261,-94397.54741408261,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,94397.54741408261,0.0,408522.8142766657
10,demo_wparent_010,en_pv,72.0,W,18000.0,6774.572088969601,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,61135.02446106113,-1187501.618188729,0.0,102313.00206494698,-102313.00206494698,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,61135.02446106113,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,102313.00206494698,0.0,408522.8142766657
11,demo_wparent_011,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,49441.9677570895,-1116624.8603903458,0.0,96206.38818256475,-96206.38818256475,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,96206.38818256475,0.0,408522.8142766657
12,demo_wparent_012,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,17562.010530678584,56327.166438382614,-1196538.3064878054,0.0,103091.58686385787,-103091.58686385787,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,56327.166438382614,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,103091.58686385787,0.0,408522.8142766657
