scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wtest_000,bau,72.0,W,0.0,0.0,0.0,1401.5964256370428,0.0,1401.5964256370428,0.0,0.0,0.0,0.0,21.51363780654435,22720.49018605385,0.0,22720.49018605385,0.0,0.0,0.0,-1434981.6112342444,0.0,0.0,0.0,1.9765048930000004,409350.66796831775,0.0,37870.852092260895,123635.43283192119,100.0,100.0,0.0,0.0,0.0,123635.43283192119,0.0,409348.6914634251
1,demo_wtest_001,bau,72.0,W,0.0,0.0,0.0,1364.4283673302775,0.0,1364.4283673302775,0.0,0.0,0.0,0.0,21.51363780654435,19915.408144992896,0.0,19915.408144992896,0.0,0.0,0.0,-1371363.9610118002,0.0,0.0,0.0,1.9765048930000004,409350.66796831775,0.0,37870.852092260895,118154.25059277279,100.0,100.0,0.0,0.0,0.0,118154.25059277279,0.0,409348.6914634251
2,demo_wtest_002,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,0.0,89361.05961209588,-89361.05961209588,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209588,0.0,409348.6914634251
3,demo_wtest_003,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,64344.83199932868,-1129263.5546010667,0.0,97295.31532765119,-97295.31532765119,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,64344.83199932868,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,97295.31532765119,0.0,409348.6914634251
4,demo_wtest_004,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,52621.47059569083,-1105631.8259851076,0.0,95259.24812433179,-95259.24812433179,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433179,0.0,409348.6914634251
5,demo_wtest_005,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,59522.33298647063,-1185727.0738085166,0.0,102160.1105151116,-102160.1105151116,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,59522.33298647063,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,102160.1105151116,0.0,409348.6914634251
6,demo_wtest_006,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,0.0,90908.55069840873,-90908.55069840873,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
7,demo_wtest_007,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,64344.83199932868,-1147224.5970105412,0.0,98842.80641396403,-98842.80641396403,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,64344.83199932868,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,98842.80641396403,0.0,409348.6914634251
8,demo_wtest_008,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,52621.47059569083,-1123592.8683945849,0.0,96806.73921064466,-96806.73921064466,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,96806.73921064466,0.0,409348.6914634251
9,demo_wtest_009,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,59522.33298647063,-1203688.1162179895,0.0,103707.60160142444,-103707.60160142444,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,59522.33298647063,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,103707.60160142444,0.0,409348.6914634251
10,demo_wtest_010,en_pv,72.0,W,18000.0,6774.572088969601,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,56410.57628377337,-1085070.2820705906,0.0,93487.70250893016,-93487.70250893016,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,93487.70250893016,0.0,409348.6914634251
11,demo_wtest_011,en_pv,72.0,W,18000.0,6774.572088969601,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,64344.83199932868,-1177159.667692998,0.0,101421.95822448545,-101421.95822448545,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,64344.83199932868,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,101421.95822448545,0.0,409348.6914634251
12,demo_wtest_012,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,52621.47059569083,-1153527.9390770409,0.0,99385.89102116607,-99385.89102116607,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,99385.89102116607,0.0,409348.6914634251
