scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_ptonly_000,bau,72.0,W_new,0.0,0.0,0.0,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,0.0,0.0,-1375188.9162889337,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,118483.80185499726,100.0,100.0,0.0,0.0,0.0,118483.80185499726,0.0,408791.90503850946
1,demo_ptonly_001,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1256.9475458605389,0.0,1256.9475458605389,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,12928.506511407175,0.0,12928.506511407175,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,103428.72981336595,103409.62675153223,19.103061833735556,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
2,demo_ptonly_002,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1353.5761331413078,0.0,1353.5761331413078,0.0,0.0,0.0,0.0,21.54385556443897,13153.209691142574,0.0,13153.209691142574,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,110610.6912773167,103409.62675153223,7201.064525784477,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
3,demo_ptonly_003,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1561.8925509352619,0.0,1561.8925509352619,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,13637.63529216454,0.0,13637.63529216454,0.0,19821.479546847902,68795.5905054234,-1200229.654348189,126093.89895950345,103409.62675153223,22684.272207971233,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.6267515322,0.0,408791.90503850946
4,demo_ptonly_004,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1268.5169008681146,0.0,1268.5169008681146,0.0,0.0,0.0,0.0,21.54385556443897,12990.512118348543,0.0,12990.512118348543,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,104323.72898085277,103409.62675153223,914.1022293205559,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
5,demo_ptonly_005,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1365.1454881488835,0.0,1365.1454881488835,0.0,0.0,0.0,0.0,21.54385556443897,13215.215298083942,0.0,13215.215298083942,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,111505.69044480353,103409.62675153223,8096.063693271317,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
6,demo_ptonly_006,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1573.4619059428378,0.0,1573.4619059428378,0.0,0.0,0.0,0.0,21.54385556443897,13699.640899105905,0.0,13699.640899105905,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,126988.89812699027,103409.62675153223,23579.271375458055,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
7,demo_ptonly_007,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,816.7506482481476,0.0,816.7506482481476,0.0,0.0,0.0,0.0,21.54385556443897,11904.858692612575,0.0,11904.858692612575,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,70710.90536647923,103409.62675153223,-32698.721385052988,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
8,demo_ptonly_008,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,945.588764622506,0.0,945.588764622506,0.0,0.0,0.0,0.0,21.54385556443897,12204.462932259776,0.0,12204.462932259776,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,80286.85398508019,103409.62675153223,-23122.77276645203,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
9,demo_ptonly_009,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1138.8459391840438,0.0,1138.8459391840438,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,12653.869291730576,0.0,12653.869291730576,0.0,19821.479546847902,68795.5905054234,-1200229.654348189,94650.7769129817,103409.62675153223,-8758.849838550519,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.6267515322,0.0,408791.90503850946
