scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wcomp_000,bau,72.0,W_new,0.0,0.0,0.0,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,0.0,0.0,-1375188.9162889337,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,118483.80185499726,100.0,100.0,0.0,0.0,0.0,118483.80185499726,0.0,408791.90503850946
1,demo_wcomp_001,bau,72.0,W_new,0.0,0.0,0.0,1399.6112350726883,0.0,1399.6112350726883,0.0,0.0,0.0,0.0,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,0.0,0.0,-1433333.7202217816,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,123493.45350829032,100.0,100.0,0.0,0.0,0.0,123493.45350829032,0.0,408791.90503850946
2,demo_wcomp_002,btm_i_c,72.0,W_new,0.0,0.0,12418.615967660648,1155.804446645797,0.0,1291.1262144303173,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,17328.53844106982,0.0,0.0,0.0,-1280082.7515436849,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,110289.62588005271,0.0,408791.90503850946
3,demo_wcomp_003,btm_i_c,72.0,W_new,0.0,0.0,12418.615967660648,1155.804446645797,0.0,1291.1262144303173,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,17328.53844106982,0.0,0.0,0.0,-1280082.7515436849,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,110289.62588005271,0.0,408791.90503850946
4,demo_wcomp_004,btm_i_c,72.0,W_new,0.0,0.0,12418.615967660648,1155.804446645797,0.0,1291.1262144303173,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,17328.53844106982,0.0,0.0,0.0,-1280082.7515436849,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,110289.62588005271,0.0,408791.90503850946
5,demo_wcomp_005,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,113.40537073063207,1226.542232770958,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,14662.993376801262,2327.8485713920813,16990.84194819334,0.0,0.0,0.0,-1222192.2296282395,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,-9797.589427810817,105301.88270770233,0.0,408791.90503850946
6,demo_wcomp_006,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,-1403.1612166127213,113696.31091890045,0.0,408791.90503850946
7,demo_wcomp_007,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,226.81074146126414,1339.9476035015907,0.0,0.0,0.0,-5.587935447692871e-11,21.54385556443897,14662.993376801262,4655.697142784163,19318.690519585423,0.0,0.0,0.0,-1343980.2341264233,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,695.4458361867582,115794.91797169995,0.0,408791.90503850946
8,demo_wcomp_008,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,0.0,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,3557.18272636794,118656.65486188106,0.0,408791.90503850946
9,demo_wcomp_009,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,309.2873747199054,1422.4242367602326,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,6348.677921978403,21011.671298779664,0.0,0.0,0.0,-1432553.3283069206,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,8326.7442100032,123426.21634551637,0.0,408791.90503850946
