scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_w2_000,en_pv,72.0,W,18000.0,2647.9291921353265,8201.702757458123,0.0,0.0,0.0,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-988777.2832774194,0.0,85191.2710485733,-85191.2710485733,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,85191.2710485733,0.0,408522.8142766657
1,demo_w2_001,en_pv,72.0,W,18000.0,2647.9291921353265,18492.518481438598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1108218.2153004236,0.0,95482.08677255375,-95482.08677255375,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,95482.08677255375,0.0,408522.8142766657
2,demo_w2_002,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1083970.8080476339,0.0,93392.9738060314,-93392.9738060314,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,93392.9738060314,0.0,408522.8142766657
3,demo_w2_003,en_pv,72.0,W,18000.0,2647.9291921353265,14659.89889100376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1019889.7493763716,0.0,87871.86512901167,-87871.86512901167,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,87871.86512901167,0.0,408522.8142766657
4,demo_w2_004,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1104965.2202559158,0.0,95201.81457451354,-95201.81457451354,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,95201.81457451354,0.0,408522.8142766657
5,demo_w2_005,en_pv,72.0,W,18000.0,2647.9291921353265,29319.79778200752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1190040.6911354584,0.0,102531.76402001541,-102531.76402001541,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,102531.76402001541,0.0,408522.8142766657
6,demo_w2_006,en_pv,72.0,W,18000.0,4195.4202784481795,8201.702757458123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1006738.3256868948,0.0,86738.76213488613,-86738.76213488613,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,86738.76213488613,0.0,408522.8142766657
7,demo_w2_007,en_pv,72.0,W,18000.0,4195.4202784481795,18492.518481438598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1126179.2577098983,0.0,97029.5778588666,-97029.5778588666,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,97029.5778588666,0.0,408522.8142766657
8,demo_w2_008,en_pv,72.0,W,18000.0,4195.4202784481795,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1101931.850457108,0.0,94940.46489234426,-94940.46489234426,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,94940.46489234426,0.0,408522.8142766657
9,demo_w2_009,en_pv,72.0,W,18000.0,4195.4202784481795,14659.89889100376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1037850.791785846,0.0,89419.35621532451,-89419.35621532451,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,89419.35621532451,0.0,408522.8142766657
