scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wenapt_000,bau,72.0,W,0.0,0.0,0.0,1399.4147733468194,0.0,1399.4147733468194,0.0,0.0,0.0,0.0,21.55713016986636,22720.490186041665,0.0,22720.490186041665,0.0,0.0,0.0,-1433158.4653852535,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37844.83484501855,123478.35386701243,100.0,100.0,0.0,0.0,0.0,123478.35386701243,0.0,408522.8142766657
1,demo_wenapt_001,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,53219.56981019676,-1047734.3350901331,108951.4887061873,90270.90451724833,18680.584188938978,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,90270.90451724835,0.0,408522.8142766657
2,demo_wenapt_002,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,0.0,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,53219.56981019676,-1047734.3350901327,104122.15146166472,90270.90451724833,13851.246944416389,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,90270.90451724833,0.0,408522.8142766657
3,demo_wenapt_003,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,53219.56981019676,-1047734.3350901325,101248.153490679,90270.90451724833,10977.248973430675,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,90270.90451724832,0.0,408522.8142766657
4,demo_wenapt_004,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,0.0,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,49441.9677570895,-1068728.7472984141,108951.4887061873,92079.74528573047,16871.743420456834,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,92079.74528573047,0.0,408522.8142766657
5,demo_wenapt_005,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,49441.9677570895,-1068728.747298414,104122.15146166472,92079.74528573047,12042.406175934244,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,92079.74528573046,0.0,408522.8142766657
6,demo_wenapt_006,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,0.0,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,49441.9677570895,-1068728.7472984141,101248.153490679,92079.74528573047,9168.40820494853,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,92079.74528573047,0.0,408522.8142766657
7,demo_wenapt_007,en_pv,72.0,W,18000.0,4195.4202784481795,16403.405514916245,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,0.0,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,53219.56981019676,-1065695.3774996067,108951.4887061873,91818.39560356118,17133.09310262613,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,91818.39560356118,0.0,408522.8142766657
8,demo_wenapt_008,en_pv,72.0,W,18000.0,4195.4202784481795,16403.405514916245,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,53219.56981019676,-1065695.377499607,104122.15146166472,91818.39560356118,12303.75585810354,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,91818.39560356119,0.0,408522.8142766657
9,demo_wenapt_009,en_pv,72.0,W,18000.0,4195.4202784481795,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,0.0,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,53219.56981019676,-1065695.3774996067,101248.153490679,91818.39560356118,9429.757887117825,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,91818.39560356118,0.0,408522.8142766657
10,demo_wenapt_010,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,49441.9677570895,-1086689.7897078882,108951.4887061873,93627.23637204332,15324.252334143985,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,93627.23637204333,0.0,408522.8142766657
11,demo_wenapt_011,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,0.0,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,49441.9677570895,-1086689.7897078882,104122.15146166472,93627.23637204332,10494.915089621394,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,93627.23637204332,0.0,408522.8142766657
