scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wtest2_000,bau,72.0,W,0.0,0.0,0.0,1401.5964256370428,0.0,1401.5964256370428,0.0,0.0,0.0,0.0,21.51363780654435,22720.49018605385,0.0,22720.49018605385,0.0,0.0,0.0,-1434981.6112342444,0.0,0.0,0.0,1.9765048930000004,409350.66796831775,0.0,37870.852092260895,123635.43283192119,100.0,100.0,0.0,0.0,0.0,123635.43283192119,0.0,409348.6914634251
1,demo_wtest2_001,bau,72.0,W,0.0,0.0,0.0,1364.4283673302775,0.0,1364.4283673302775,0.0,0.0,0.0,0.0,21.51363780654435,19915.408144992896,0.0,19915.408144992896,0.0,0.0,0.0,-1371363.9610118002,0.0,0.0,0.0,1.9765048930000004,409350.66796831775,0.0,37870.852092260895,118154.25059277279,100.0,100.0,0.0,0.0,0.0,118154.25059277279,0.0,409348.6914634251
2,demo_wtest2_002,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,0.0,89361.05961209588,-89361.05961209588,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209588,0.0,409348.6914634251
3,demo_wtest2_003,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1401.5964256370428,0.0,1401.5964256370428,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,22720.49018605385,0.0,22720.49018605385,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,123635.43283192119,89361.05961209588,34274.373219825306,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.0596120959,0.0,409348.6914634251
4,demo_wtest2_004,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1364.4283673302775,0.0,1364.4283673302775,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,19915.408144992896,0.0,19915.408144992896,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,118154.25059277279,89361.05961209588,28793.190980676914,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.0596120959,0.0,409348.6914634251
5,demo_wtest2_005,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1328.958898269176,0.0,1328.958898269176,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,19205.07856462898,0.0,19205.07856462898,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,114890.11924000984,89361.05961209588,25529.059627913965,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.0596120959,0.0,409348.6914634251
6,demo_wtest2_006,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1319.1495770701615,0.0,1319.1495770701615,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,21383.990763344802,0.0,21383.990763344802,0.0,19513.328813778622,56410.57628377337,-1037174.1689786593,116362.76031239645,89361.05961209588,27001.70070030058,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209587,0.0,409348.6914634251
7,demo_wtest2_007,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1284.1678751343788,0.0,1284.1678751343788,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,18743.913548228607,0.0,18743.913548228607,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,111204.00055790407,89361.05961209588,21842.940945808197,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.0596120959,0.0,409348.6914634251
8,demo_wtest2_008,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1250.7848454298153,0.0,1250.7848454298153,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,18075.368060827273,0.0,18075.368060827273,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,108131.87693177385,89361.05961209588,18770.817319677975,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.0596120959,0.0,409348.6914634251
9,demo_wtest2_009,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1236.7027285032739,0.0,1236.7027285032739,0.0,0.0,0.0,0.0,21.51363780654435,20047.49134063575,0.0,20047.49134063575,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,109090.08779287159,89361.05961209588,19729.028180775716,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209588,0.0,409348.6914634251
10,demo_wtest2_010,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1203.9073829384802,0.0,1203.9073829384802,0.0,0.0,0.0,0.0,21.51363780654435,17572.41895146432,0.0,17572.41895146432,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,104253.75052303496,89361.05961209588,14892.69091093909,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209588,0.0,409348.6914634251
11,demo_wtest2_011,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1172.6107925904516,0.0,1172.6107925904516,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,16945.657557025566,0.0,16945.657557025566,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,101373.63462353824,89361.05961209588,12012.575011442359,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.0596120959,0.0,409348.6914634251
12,demo_wtest2_012,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1154.25587993639,0.0,1154.25587993639,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,18710.991917926698,0.0,18710.991917926698,0.0,19513.328813778622,56410.57628377337,-1037174.1689786593,101817.41527334669,89361.05961209588,12456.355661250818,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209587,0.0,409348.6914634251
13,demo_wtest2_013,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1123.6468907425815,0.0,1123.6468907425815,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,16400.924354700033,0.0,16400.924354700033,0.0,19513.328813778622,56410.57628377337,-1037174.1689786593,97303.50048816594,89361.05961209588,7942.440876070056,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209587,0.0,409348.6914634251
14,demo_wtest2_014,en_pv,72.0,W,18000.0,2647.9291921353265,12302.554136187184,1094.436739751088,0.0,1094.436739751088,0.0,0.0,0.0,0.0,21.51363780654435,15815.947053223867,0.0,15815.947053223867,0.0,19513.328813778622,56410.57628377337,-1037174.1689786596,94615.39231530204,89361.05961209588,5254.332703206167,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,89361.05961209588,0.0,409348.6914634251
15,demo_wtest2_015,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,52621.47059569083,-1105631.8259851076,0.0,95259.24812433179,-95259.24812433179,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433179,0.0,409348.6914634251
16,demo_wtest2_016,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1401.5964256370428,0.0,1401.5964256370428,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,22720.49018605385,0.0,22720.49018605385,0.0,19513.328813778622,52621.47059569083,-1105631.8259851073,123635.43283192119,95259.24812433179,28376.184707589393,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433177,0.0,409348.6914634251
17,demo_wtest2_017,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1364.4283673302775,0.0,1364.4283673302775,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,19915.408144992896,0.0,19915.408144992896,0.0,19513.328813778622,52621.47059569083,-1105631.8259851073,118154.25059277279,95259.24812433179,22895.002468441,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433177,0.0,409348.6914634251
18,demo_wtest2_018,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1328.958898269176,0.0,1328.958898269176,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,19205.07856462898,0.0,19205.07856462898,0.0,19513.328813778622,52621.47059569083,-1105631.8259851073,114890.11924000984,95259.24812433179,19630.871115678045,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433177,0.0,409348.6914634251
