site_id,site_num,scenario,num_subsys,subsys,kW,tilt,orientation,wf_name,year
A,1,max,1,1,47.25,2,344,wf_en_cp_site_A_2013.csv,2013
B,30,max,1,1,18.75,2,334,wf_en_cp_site_B_2013.csv,2013
C,31,max,1,1,9.5,2,8,wf_en_cp_site_C_2013.csv,2013
D,38,max,2,1,3,2,54,wf_en_cp_site_D_2013.csv,2013
D,38,max,2,2,39.25,2,324,wf_en_cp_site_D_2013.csv,2013
E,41,max,2,1,69.5,2,9,wf_en_cp_site_E_2013.csv,2013
E,41,max,2,2,20.75,2,72,wf_en_cp_site_E_2013.csv,2013
F,44,max,1,1,31.5,5,21,wf_en_cp_site_F_2013.csv,2013
F,44,1_5kw,1,1,30,5,21,wf_en_cp_site_F_2013.csv,2013
F,44,1_0kw,1,1,20,5,21,wf_en_cp_site_F_2013.csv,2013
F,44,0_5kw,1,1,10,5,21,wf_en_cp_site_F_2013.csv,2013
G,48,max,3,1,16.5,30,326,wf_en_cp_site_G_2013.csv,2013
G,48,max,3,2,30.25,30,237,wf_en_cp_site_G_2013.csv,2013
G,48,max,3,3,30,30,58,wf_en_cp_site_G_2013.csv,2013
G,48,1_5kw,3,1,16.5,30,326,wf_en_cp_site_G_2013.csv,2013
G,48,1_5kw,3,2,19.5,30,237,wf_en_cp_site_G_2013.csv,2013
G,48,1_5kw,3,3,30,30,58,wf_en_cp_site_G_2013.csv,2013
G,48,1_0kw,2,1,16.5,30,326,wf_en_cp_site_G_2013.csv,2013
G,48,1_0kw,2,2,27.5,30,58,wf_en_cp_site_G_2013.csv,2013
G,48,0_5kw,2,1,16.5,30,326,wf_en_cp_site_G_2013.csv,2013
G,48,0_5kw,2,2,5.5,30,58,wf_en_cp_site_G_2013.csv,2013
H,51,max,4,1,37.25,15,341,wf_en_cp_site_H_2013.csv,2013
H,51,max,4,2,47.75,15,70,wf_en_cp_site_H_2013.csv,2013
H,51,max,4,3,34.75,15,71,wf_en_cp_site_H_2013.csv,2013
H,51,max,4,4,21.75,15,161,wf_en_cp_site_H_2013.csv,2013
H,51,2_5kw,4,1,37.25,15,341,wf_en_cp_site_H_2013.csv,2013
H,51,2_5kw,4,2,47.75,15,70,wf_en_cp_site_H_2013.csv,2013
H,51,2_5kw,4,3,34.75,15,71,wf_en_cp_site_H_2013.csv,2013
H,51,2_5kw,4,4,10.25,15,161,wf_en_cp_site_H_2013.csv,2013
H,51,2_0kw,3,1,37.25,15,341,wf_en_cp_site_H_2013.csv,2013
H,51,2_0kw,3,2,47.75,15,70,wf_en_cp_site_H_2013.csv,2013
H,51,2_0kw,3,3,19,15,71,wf_en_cp_site_H_2013.csv,2013
H,51,1_5kw,2,1,37.25,15,341,wf_en_cp_site_H_2013.csv,2013
H,51,1_5kw,2,2,40.75,15,70,wf_en_cp_site_H_2013.csv,2013
H,51,1_0kw,2,1,37.25,15,341,wf_en_cp_site_H_2013.csv,2013
H,51,1_0kw,2,2,14.75,15,70,wf_en_cp_site_H_2013.csv,2013
H,51,0_5kw,1,1,26,15,341,wf_en_cp_site_H_2013.csv,2013
I,52,max,3,1,7.5,2,211,wf_en_cp_site_I_2013.csv,2013
I,52,max,3,2,7.5,2,198,wf_en_cp_site_I_2013.csv,2013
I,52,max,3,3,37.5,2,195,wf_en_cp_site_I_2013.csv,2013
I,52,1_0kw,3,1,7.5,2,211,wf_en_cp_site_I_2013.csv,2013
I,52,1_0kw,3,2,7.5,2,198,wf_en_cp_site_I_2013.csv,2013
I,52,1_0kw,3,3,33,2,195,wf_en_cp_site_I_2013.csv,2013
I,52,0_5kw,3,1,7.5,2,211,wf_en_cp_site_I_2013.csv,2013
I,52,0_5kw,3,2,7.5,2,198,wf_en_cp_site_I_2013.csv,2013
I,52,0_5kw,3,3,9,2,195,wf_en_cp_site_I_2013.csv,2013
J,53,max,1,1,78.5,2,0,wf_en_cp_site_J_2013.csv,2013
J,53,2_5kw,1,1,65,2,0,wf_en_cp_site_J_2013.csv,2013
J,53,2_0kw,1,1,52,2,0,wf_en_cp_site_J_2013.csv,2013
J,53,1_5kw,1,1,39,2,0,wf_en_cp_site_J_2013.csv,2013
J,53,1_0kw,1,1,26,2,0,wf_en_cp_site_J_2013.csv,2013
J,53,0_5kw,1,1,13,2,0,wf_en_cp_site_J_2013.csv,2013
