pv_cap_id,kW,$/W,pv_capex,inverter_cost,inverter_life
site_A_max,47.25,1.12,52920,25987.5,10
site_B_max,18.75,1.12,21000,10312.5,10
site_C_max,9.5,1.18,11210,5225,10
site_D_max,42.25,1.12,47320,23237.5,10
site_E_max,90.25,1.09,98372.5,49637.5,10
site_F_0_5kw,10,1.18,11800,5500,10
site_F_1_0kw,20,1.12,22400,11000,10
site_F_1_5kw,30,1.12,33600,16500,10
site_F_max,31.5,1.12,35280,17325,10
site_G_0_5kw,22,1.12,24640,12100,10
site_G_1_0kw,44,1.12,49280,24200,10
site_G_1_5kw,66,1.1,72600,36300,10
site_G_max,76.75,1.09,83657.5,42212.5,10
site_H_0_5kw,26,1.12,29120,14300,10
site_H_1_0kw,52,1.12,58240,28600,10
site_H_1_5kw,78,1.09,85020,42900,10
site_H_2_0kw,104,1.09,113360,57200,10
site_H_2_5kw,130,1.09,141700,71500,10
site_H_max,141.5,1.09,154235,77825,10
site_I_0_5kw,24,1.12,26880,13200,10
site_I_1_0kw,48,1.12,53760,26400,10
site_I_max,52.5,1.1,57750,28875,10
site_J_0_5kw,13,1.12,14560,7150,10
site_J_1_0kw,26,1.12,29120,14300,10
site_J_1_5kw,39,1.12,43680,21450,10
site_J_2_0kw,52,1.1,57200,28600,10
site_J_2_5kw,65,1.1,71500,35750,10
site_J_max,78.5,1.09,85565,43175,10
pv_cap_null,0,0,0,0,10
A_maxflush,47.25,1.12,52920,25987.5,10
B_maxflush,18.75,1.2,22500,10312.5,10
C_maxflush,9.5,1.2,11400,5225,10
D_maxflush,42.25,1.13,47742.5,23237.5,10
E_maxflush,90.25,1.09,98372.5,49637.5,10
F_maxflush,31.5,1.22,38430,17325,10
G_maxflush,76.75,1.09,83657.5,42212.5,10
H_maxflush,141.5,1.08,152820,77825,10
I_maxflush,52.5,1.11,58275,28875,10
J_maxflush,78.5,1.09,85565,43175,10
K_maxflush,0,1.25,0,0,10
L_maxflush,10,1.22,12200,5500,10
L_actual,10,0,0,5500,10
G_maxflush_3,76.75,1.09,83657.5,42212.5,10
G_reduced,46.5,1.11,51615,25575,10
G_reduced_2,46.5,1.11,51615,25575,10
pvcap_syd_scale,1,1.2,1200,550,10
