pv_cap_id,number_units,kW,$/W,pv_capex,inverter_cost,inverter_life
site_A_max,208,47.25,1.16,54810,19845,10
site_B_max,104,18.75,1.2,22500,12187.5,10
site_C_max,34,9.5,1.08,10260,6175,10
site_D_max,138,42.25,1.16,49010,17745,10
site_E_max,161,90.25,1.1,99275,27977.5,10
site_F_0_5kw,20,10,1.2,12000,6500,10
site_F_1_0kw,20,20,1.18,23600,8400,10
site_F_1_5kw,20,30,1.16,34800,12600,10
site_F_max,20,31.5,1.16,36540,13230,10
site_G_0_5kw,44,22,1.18,25960,9240,10
site_G_1_0kw,44,44,1.16,51040,18480,10
site_G_1_5kw,44,66,1.12,73920,20460,10
site_G_max,44,76.75,1.1,84425,23792.5,10
site_H_0_5kw,52,26,1.18,30680,10920,10
site_H_1_0kw,52,52,1.12,58240,16120,10
site_H_1_5kw,52,78,1.1,85800,24180,10
site_H_2_0kw,52,104,1.1,114400,32240,10
site_H_2_5kw,52,130,1.1,143000,40300,10
site_H_max,52,141.5,1.1,155650,43865,10
site_I_0_5kw,48,24,1.18,28320,10080,10
site_I_1_0kw,48,48,1.16,55680,20160,10
site_I_max,48,52.5,1.12,58800,16275,10
site_J_0_5kw,26,13,1.2,15600,8450,10
site_J_1_0kw,26,26,1.18,30680,10920,10
site_J_1_5kw,26,39,1.16,45240,16380,10
site_J_2_0kw,26,52,1.12,58240,16120,10
site_J_2_5kw,26,65,1.12,72800,20150,10
site_J_max,26,78.5,1.1,86350,24335,10
site_A_max_i,208,47.25,,86940,51975,10
site_B_max_i,104,18.75,,34500,20625,10
site_C_max_i,34,9.5,,17480,10450,10
site_D_max_i,138,42.25,,77740,46475,10
site_E_max_i,161,90.25,,166060,99275,10
site_F_0_5kw_i,20,10,,18400,11000,10
site_F_1_0kw_i,20,20,,36800,22000,10
site_F_1_5kw_i,20,30,,51000,33000,10
site_F_max_i,20,31.5,,53550,34650,10
site_G_0_5kw_i,44,22,,40480,24200,10
site_G_1_0kw_i,44,44,,80960,48400,10
site_G_1_5kw_i,44,66,,112200,72600,10
site_G_max_i,44,76.75,,130475,84425,10
site_H_0_5kw_i,52,26,,47840,28600,10
site_H_1_0kw_i,52,52,,95680,57200,10
site_H_1_5kw_i,52,78,,132600,85800,10
site_H_2_0kw_i,52,104,,162240,98800,10
site_H_2_5kw_i,52,130,,202800,123500,10
site_H_max_i,52,141.5,,220740,134425,10
site_I_0_5kw_i,48,24,,44160,26400,10
site_I_1_0kw_i,48,48,,88320,52800,10
site_I_max_i,48,52.5,,96600,57750,10
site_J_0_5kw_i,26,13,,23920,14300,10
site_J_1_0kw_i,26,26,,47840,28600,10
site_J_1_5kw_i,26,39,,66300,42900,10
site_J_2_0kw_i,26,52,,81120,49400,10
site_J_2_5kw_i,26,65,,101400,61750,10
site_J_max_i,26,78.5,,122460,74575,10
pv_cap_null,,0,1.84,0,0,10
A_maxflush,,47.25,1.16,54810,19845,10
B_maxflush,,18.75,1.2,22500,12187.5,10
C_maxflush,,9.5,1.08,10260,6175,10
D_maxflush,,42.25,1.16,49010,17745,10
E_maxflush,,90.25,1.1,99275,27977.5,10
F_maxflush,,31.5,1.16,36540,13230,10
G_maxflush,,76.75,1.1,84425,23792.5,10
H_maxflush,,141.5,1.1,155650,43865,10
I_maxflush,,52.5,1.12,58800,16275,10
J_maxflush,,78.5,1.1,86350,24335,10
K_maxflush,,0,1.84,0,0,10
L_maxflush,,10,1.2,12000,6500,10
L_actual,,10,1.2,12000,6500,10
G_maxflush_3,,76.75,1.094,83964.5,,10
G_reduced_3,,46.5,1.112,51708,,10
G_reduced_2,,46.5,1.112,51708,19530,10
pvcap_syd_scale,,1,1.84,1840,1100,10
