tariff_id,rorn,rescom,tariff_reference,tariff_type,fit_type,supplier,state,notes,tariff_name,daily_fixed_rate,flat_rate,discount,demand_tariff,demand_type,demand_start,demand_end,demand_week,name_1,rate_1,start_1,end_1,week_1,name_2,rate_2,start_2,end_2,week_2,name_3,rate_3,start_3,end_3,week_3,name_4,rate_4,start_4,end_4,week_4,name_5,rate_5,start_5,end_5,week_5,name_6,rate_6,start_6,end_6,week_6,name_7,rate_7,start_7,end_7,week_7,name_8,rate_8,start_8,end_8,week_8,block__rate_1,high_1,block_rate_2,high_2,block_rate_3,fit_flat_rate,release_date,dlf,metering_sc_non_cap,metering_sc_cap
TIDNULL,retail,res,,Zero_Rate,Zero_Rate,MR,NSW,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
EASO_Flat,retail,res,ENE390949SR,Flat_Rate,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - Peak Only,92.51,32.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_5pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,5,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_10pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,10,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_15pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,15,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_20pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,20,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_25pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,25,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_30pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,30,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_35pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,35,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_40pc,retail,res,ENE391090SR,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer,Basic Home - 5 day TOU,106.04,0,40,,,,,,Peak,60.39,14:00,20:00,day,Shoulder1,27.456,7:00,14:00,day,Shoulder2,27.456,20:00,22:00,day,Shoulder 3,27.456,7:00,22:00,end,Off Peak 1,16.764,0:00,7:00,both,Off Peak 2,16.764,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_Flat_GP,retail,res,ENE390949SR-100GP,Flat_Rate,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer - 100Green,Basic Home - Peak Only -GP,92.51,40.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
EASO_TOU_GP,retail,res,ENE391090SR-100GP,TOU,Flat_Rate,EnergyAustralia,NSW,ROLR - Standing Offer - 100Green,Basic Home - 5 day TOU -GP,106.04,0,,,,,,,Peak,68.86,14:00,20:00,day,Shoulder1,35.926,7:00,14:00,day,Shoulder2,35.926,20:00,22:00,day,Shoulder 3,35.926,7:00,22:00,end,Off Peak 1,25.234,0:00,7:00,both,Off Peak 2,25.234,20:00,23:59,both,,,,,,,,,,,,,,,,12.5,31/07/2017,,,
TID_demand_example,retail,res,,Demand_Flat_Rate,Zero_Rate,MR,NSW,,,0,0,,20,kVA,14:00,20:00,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
tid_discount,retail,res,,Flat_Rate,Flat_Rate,MR,NSW,,,10000,1000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
EA025_7c,retail,,,TOU,Flat_Rate,MR,NSW,,Residential ToU_7c,62.952,,,,,,,,Peak,35.237,14:00,20:00,day,Shoulder_1,12.082,7:00,14:00,day,Shoulder_2,12.082,20:00,22:00,day,Shoulder_3,12.082,7:00,22:00,end,Off_Peak_1,9.7045,0:00,7:00,both,Off_peak_2,9.7045,22:00,23:59,both,,,,,,,,,,,,,,,,12.5,,1.0484,7.5161,6.6542
EA305_7c,retail,,,TOU_Demand,Zero_Rate,MR,NSW,,LV 160-750 MW h (7c),2096.4294,,,39.3159,kVA,14:00,20:00,day,Peak,12.443,14:00,20:00,day,Shoulder_1,9.4998,7:00,14:00,day,Shoulder_2,9.4998,20:00,22:00,day,Off_peak_3,8.3888,0:00,7:00,day,Off_Peak_1,8.3888,22:00,23:59,day,Off_peak_2,8.3888,0:00,23:59,end,,,,,,,,,,,,,,,,,,,,
EA310_7c,retail,,,TOU_Demand,Zero_Rate,MR,NSW,,LV > 750 MW h (7c),2643.4422,,,39.3159,kVA,14:00,20:00,day,Peak,11.8389,14:00,20:00,day,Shoulder_1,9.3157,7:00,14:00,day,Shoulder_2,9.3157,20:00,22:00,day,Off_peak_3,8.5258,0:00,7:00,day,Off_Peak_1,8.5258,22:00,23:59,day,Off_peak_2,8.5258,0:00,23:59,end,,,,,,,,,,,,,,,,,,,,
EA025_9.5c,retail,,,TOU,Flat_Rate,MR,NSW,,Residential ToU(9.5c),62.952,,,,,,,,Peak,37.737,14:00,20:00,day,Shoulder_1,14.582,7:00,14:00,day,Shoulder_2,14.582,20:00,22:00,day,Shoulder_3,14.582,7:00,22:00,end,Off_Peak_1,12.2045,0:00,7:00,both,Off_peak_2,12.2045,22:00,23:59,both,,,,,,,,,,,,,,,,12.5,,1.0484,7.5161,6.6542
EA305_9.5c,retail,,,TOU_Demand,Zero_Rate,MR,NSW,,LV 160-750 MW h (9.5c),2096.4294,,,39.3159,kVA,14:00,20:00,day,Peak,14.943,14:00,20:00,day,Shoulder_1,11.9998,7:00,14:00,day,Shoulder_2,11.9998,20:00,22:00,day,Off_peak_3,10.8888,0:00,7:00,day,Off_Peak_1,10.8888,22:00,23:59,day,Off_peak_2,10.8888,0:00,23:59,end,,,,,,,,,,,,,,,,,,,,
