scenario,pv_filename,load_folder,arrangement,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,central_battery_id,central_battery_strategy,battery_capex_per_kW
0,,h_all_site_J,bau,,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,capex_null,20,0.06,,,
1,,h_all_site_J,en,,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
2,vb_pv\site_J_max.csv,h_all_site_J,en_pv,site_J_max,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
3,vb_pv\site_J_2_5kw.csv,h_all_site_J,en_pv,site_J_2_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
4,vb_pv\site_J_2_0kw.csv,h_all_site_J,en_pv,site_J_2_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
5,vb_pv\site_J_1_5kw.csv,h_all_site_J,en_pv,site_J_1_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
6,vb_pv\site_J_1_0kw.csv,h_all_site_J,en_pv,site_J_1_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
7,vb_pv\site_J_0_5kw.csv,h_all_site_J,en_pv,site_J_0_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,,,
8,,h_all_site_J,en,,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
9,vb_pv\site_J_max.csv,h_all_site_J,en_pv,site_J_max,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
10,vb_pv\site_J_2_5kw.csv,h_all_site_J,en_pv,site_J_2_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
11,vb_pv\site_J_2_0kw.csv,h_all_site_J,en_pv,site_J_2_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
12,vb_pv\site_J_1_5kw.csv,h_all_site_J,en_pv,site_J_1_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
13,vb_pv\site_J_1_0kw.csv,h_all_site_J,en_pv,site_J_1_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
14,vb_pv\site_J_0_5kw.csv,h_all_site_J,en_pv,site_J_0_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_26,double_cycle_1,1000
15,,h_all_site_J,en,,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
16,vb_pv\site_J_max.csv,h_all_site_J,en_pv,site_J_max,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
17,vb_pv\site_J_2_5kw.csv,h_all_site_J,en_pv,site_J_2_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
18,vb_pv\site_J_2_0kw.csv,h_all_site_J,en_pv,site_J_2_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
19,vb_pv\site_J_1_5kw.csv,h_all_site_J,en_pv,site_J_1_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
20,vb_pv\site_J_1_0kw.csv,h_all_site_J,en_pv,site_J_1_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
21,vb_pv\site_J_0_5kw.csv,h_all_site_J,en_pv,site_J_0_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_52,double_cycle_1,1000
22,,h_all_site_J,en,,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
23,vb_pv\site_J_max.csv,h_all_site_J,en_pv,site_J_max,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
24,vb_pv\site_J_2_5kw.csv,h_all_site_J,en_pv,site_J_2_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
25,vb_pv\site_J_2_0kw.csv,h_all_site_J,en_pv,site_J_2_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
26,vb_pv\site_J_1_5kw.csv,h_all_site_J,en_pv,site_J_1_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
27,vb_pv\site_J_1_0kw.csv,h_all_site_J,en_pv,site_J_1_0kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
28,vb_pv\site_J_0_5kw.csv,h_all_site_J,en_pv,site_J_0_5kw,TIDNULL,TIDNULL,EA305_TOU9,EA305,capex_med,20,0.06,bat_pw_78,double_cycle_1,1000
